name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Paul Deaville,England,0.0,0.0,1287.3220738973596,1264.6656318310922
Ma Shaojun,China,0.0,0.0,1462.1343100286406,1462.1343100286406
Thor Chuan Leong,Malaysia,0.0,1460.3344947505618,1577.2793884309,1577.2793884309
Qiu Lei,China,0.0,0.0,1461.295467402216,1421.3355626853227
Liu Wenwei,China,0.0,0.0,0.0,1390.708648226137
David Gilbert,"England",1794.412081951812,2219.9261822784492,1837.1928318157738,1900.7084332877223
Mark Allen,"Northern Ireland",2184.7467472556446,2001.3810362413724,1955.1536678687175,2268.2033428574236
Jack O'Brien,Ireland,0.0,0.0,0.0,1490.6209074065946
Hossein Vafaei,"Iran",1828.9318255893459,1986.886420472001,2118.6792403548657,1974.0931197032257
Yisong Peng,"China",1024.7987573924993,1477.64895229226,1477.64895229226,1477.64895229226
Zhang Hao,China,0.0,0.0,0.0,1468.2673668382995
Andy Lee,"England",1157.0580161130229,1136.1740227155678,1136.1740227155678,1136.1740227155678
Kyren Wilson,"England",2152.880651012832,2362.225585482622,2185.5662123252123,2182.8268881778536
Kreishh Gurbaxani,India,0.0,0.0,1201.9791875253238,1121.4833438594649
Haydon Pinhey,England,1393.6845572440998,1306.5571277860245,1366.5692312180038,1444.1825976638868
Alex Taubman,Wales,0.0,1341.9931617689847,1341.9931617689847,1341.9931617689847
Hamza Ilyas,Pakistan,0.0,1345.2631068620876,1345.2631068620876,1345.2631068620876
Simon Blackwell,England,0.0,0.0,1229.4331277124977,1255.8220335252515
Anthony McGill,"Scotland",1956.4571965545513,1628.5773526411392,1686.1642529737435,1867.241214316555
Jamie Jones,"Wales",1601.752916530574,1864.8571926227485,1658.2283182418641,1663.5111038350115
Zhou Yuelong,"China",1650.6328079793036,1827.6934971212727,2028.8252235528855,1900.2416003011724
Omar Alajlani,Saudi Arabia,0.0,1474.608270647986,1404.8667312558023,1336.4062012560244
Yao Pengcheng,China,0.0,0.0,0.0,1464.3414510029963
Huang Jiahao,China,0.0,0.0,1278.348174373348,1244.474259765608
Connor Benzey,England,0.0,0.0,1526.2016074003964,1262.2293455289662
Haris Tahir,Pakistan,0.0,0.0,1222.6824445109899,1135.5318152292434
Abdullah Alotayyani,Saudi Arabia,0.0,0.0,1439.081206566901,1374.2377394599093
Umut Dikme,Germany,0.0,1368.171488435486,1344.6714140566937,1736.276224233585
Ali Al Obaidly,Qatar,0.0,1472.888398203392,1410.529095946551,1410.529095946551
Yulu Bai,China,0.0,1250.7497713865407,1146.814560332599,1362.360218042834
Andrew Pagett,"Wales",1374.688957256877,1183.9952143719577,1127.650383766689,1155.950150222121
Jake Crofts,England,1437.8592359595827,1437.8592359595827,1437.8592359595827,1437.8592359595827
Callum Beresford,England,1374.23522457137,1374.23522457137,1374.23522457137,1374.23522457137
Fergal Quinn (II),Northern Ireland,0.0,1448.9488849974387,1263.0226625633677,1131.1046108317025
Cody Turner,New Zealand,0.0,0.0,0.0,1405.177837206668
Noppon Saengkham,"Thailand",1783.6413047803517,1798.090424075241,1718.7427871817265,1900.8090900000175
Filips Kalniņš,Latvia,1272.3405135937796,1244.181589456382,1244.181589456382,1244.181589456382
Ahmed Aly Elsayed,United States,0.0,928.2835097250412,877.8178894501372,877.8178894501372
Musaad Almisfir,Saudi Arabia,0.0,0.0,0.0,1397.419855956466
Xiao Guodong,"China",1712.4871587478356,1883.6287822161291,2206.191547800041,1999.154976040902
Joe O'Connor,"England",1806.2221463141814,2010.7658619717963,2290.20204518259,1823.9685265133428
Chang Bingyu,"China",1443.047846780931,1443.047846780931,1443.047846780931,2053.2748123504725
Barry Hawkins,"England",1724.59546108461,1794.2904453010108,2340.990908230831,2197.741656195365
Amir Sarkhosh,Iran,0.0,1402.0988167030346,1238.658007634548,1374.897629478281
Zhang Xiao,China,0.0,0.0,0.0,1468.9308716115213
Barry Pinches,"England",1377.9150150726703,1353.2155313646817,1392.5099094089985,1392.5099094089985
Lee Walker,Wales,1459.3413417224194,1459.3413417224194,1459.3413417224194,1459.3413417224194
Anthony Hamilton,"England",1479.9478628998309,1498.190917354937,1504.1192196904055,1504.1192196904055
Deng Haohui,China,0.0,1478.4446409504565,1478.4446409504565,1478.4446409504565
Adeel Aqdus,Pakistan,0.0,0.0,1446.5178801494321,1379.4272545291433
Ben Mertens,"Belgium",1483.8306266300533,1540.3740310927571,1439.412161253781,1791.6842834771815
Cheung Ka Wai,Hong Kong,0.0,1354.220814531676,1561.4777637592858,1547.3262493818738
Ross Bulman,Ireland,1327.5001917500786,1327.5001917500786,1327.5001917500786,1327.5001917500786
Halim Hussain,England,0.0,0.0,0.0,1368.259455119177
