name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Paul Deaville,England,0.0,0.0,1287.3220738973596,1264.8138122505804
Ma Shaojun,China,0.0,0.0,1462.1343100286406,1462.1343100286406
Thor Chuan Leong,Malaysia,0.0,1460.3344947505618,1577.2793884309,1577.2793884309
Qiu Lei,China,0.0,0.0,1461.295467402216,1421.4026226002259
Liu Wenwei,China,0.0,0.0,0.0,1392.6523256990806
David Gilbert,"England",1794.412081951812,2219.9261822784492,1837.1928318157738,1943.3961461073877
Mark Allen,"Northern Ireland",2184.7467472556446,2001.3810362413724,1955.1536678687175,2247.4895019035057
Jack O'Brien,Ireland,0.0,0.0,0.0,1490.659546282897
Hossein Vafaei,"Iran",1828.9318255893459,1986.886420472001,2118.6792403548657,1793.9655524178086
Yisong Peng,"China",1024.7987573924993,1477.64895229226,1477.64895229226,1477.64895229226
Zhang Hao,China,0.0,0.0,0.0,1468.7673200809215
Andy Lee,"England",1157.0580161130229,1136.1740227155678,1136.1740227155678,1136.1740227155678
Kyren Wilson,"England",2152.880651012832,2362.225585482622,2185.5662123252123,2228.3419118458355
Kreishh Gurbaxani,India,0.0,0.0,1201.9791875253238,1123.071332703307
Haydon Pinhey,England,1393.6845572440998,1306.5571277860245,1366.5692312180038,1445.9305468260309
Alex Taubman,Wales,0.0,1341.9931617689847,1341.9931617689847,1341.9931617689847
Hamza Ilyas,Pakistan,0.0,1345.2631068620876,1345.2631068620876,1345.2631068620876
Simon Blackwell,England,0.0,0.0,1229.4331277124977,1256.6122758318315
Anthony McGill,"Scotland",1956.4571965545513,1628.5773526411392,1686.1642529737435,1843.616457523306
Jamie Jones,"Wales",1601.752916530574,1864.8571926227485,1658.2283182418641,1701.788081129619
Zhou Yuelong,"China",1650.6328079793036,1827.6934971212727,2028.8252235528855,1976.9121801849608
Omar Alajlani,Saudi Arabia,0.0,1474.608270647986,1404.8667312558023,1336.4225462611466
Yao Pengcheng,China,0.0,0.0,0.0,1466.9935483282172
Huang Jiahao,China,0.0,0.0,1278.348174373348,1246.4692396192277
Connor Benzey,England,0.0,0.0,1526.2016074003964,1264.1503573976215
Haris Tahir,Pakistan,0.0,0.0,1222.6824445109899,1137.25583794868
Abdullah Alotayyani,Saudi Arabia,0.0,0.0,1439.081206566901,1374.2950144575134
Umut Dikme,Germany,0.0,1368.171488435486,1344.6714140566937,1624.3450942944928
Ali Al Obaidly,Qatar,0.0,1472.888398203392,1410.529095946551,1410.529095946551
Yulu Bai,China,0.0,1250.7497713865407,1146.814560332599,1364.2180536088638
Andrew Pagett,"Wales",1374.688957256877,1183.9952143719577,1127.650383766689,1156.0623654574692
Jake Crofts,England,1437.8592359595827,1437.8592359595827,1437.8592359595827,1437.8592359595827
Callum Beresford,England,1374.23522457137,1374.23522457137,1374.23522457137,1374.23522457137
Fergal Quinn (II),Northern Ireland,0.0,1448.9488849974387,1263.0226625633677,1132.897100864151
Cody Turner,New Zealand,0.0,0.0,0.0,1405.3210963740528
Noppon Saengkham,"Thailand",1783.6413047803517,1798.090424075241,1718.7427871817265,1844.5002688565628
Filips Kalniņš,Latvia,1272.3405135937796,1244.181589456382,1244.181589456382,1244.181589456382
Ahmed Aly Elsayed,United States,0.0,928.2835097250412,877.8178894501372,877.8178894501372
Musaad Almisfir,Saudi Arabia,0.0,0.0,0.0,1397.513229730997
Xiao Guodong,"China",1712.4871587478356,1883.6287822161291,2206.191547800041,2125.397988621677
Joe O'Connor,"England",1806.2221463141814,2010.7658619717963,2290.20204518259,1827.4662896957814
Chang Bingyu,"China",1443.047846780931,1443.047846780931,1443.047846780931,2248.671732655914
Barry Hawkins,"England",1724.59546108461,1794.2904453010108,2340.990908230831,2205.319142306752
Amir Sarkhosh,Iran,0.0,1402.0988167030346,1238.658007634548,1377.1707119105242
