name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Paul Deaville,England,1500.0,1500.0,1292.5736919374988,1383.279568646711
Ma Shaojun,China,1500.0,1500.0,1459.181266299361,1459.181266299361
Thor Chuan Leong,Malaysia,1500.0,1511.451971443388,1509.8930743067167,1509.8930743067167
Qiu Lei,China,1500.0,1500.0,1459.1609995529914,1464.2606825246355
Liu Wenwei,China,1500.0,1500.0,1500.0,1323.837512822797
David Gilbert,"England",1824.2946714973555,2318.9681398041394,1925.0752462951273,1929.6193139642744
Mark Allen,"Northern Ireland",2329.3201880668685,2254.0249526896437,2061.6014832390356,2340.9140955448456
Jack O'Brien,Ireland,1500.0,1500.0,1500.0,1491.069650285098
Hossein Vafaei,"Iran",1799.4122514305081,2042.977327781718,2279.588587013566,2215.911500630664
Yisong Peng,"China",991.6212294071269,1509.4122335022105,1509.4122335022105,1509.4122335022105
Zhang Hao,China,1500.0,1500.0,1500.0,1457.651327193134
Andy Lee,"England",1170.740547021723,1248.308581654164,1248.308581654164,1248.308581654164
Kyren Wilson,"England",2103.6061286322997,2526.3895778744136,2478.153458611628,2214.3437784199173
Kreishh Gurbaxani,India,1500.0,1500.0,1254.8404951707896,1249.1704783305263
Haydon Pinhey,England,1412.0291315371728,1273.4358660675414,1266.3530380178233,1395.486908009014
Alex Taubman,Wales,1500.0,1409.706935556109,1409.706935556109,1409.706935556109
Hamza Ilyas,Pakistan,1500.0,1278.860667755512,1278.860667755512,1278.860667755512
Simon Blackwell,England,1500.0,1500.0,1305.893954254532,1372.1233375162508
Anthony McGill,"Scotland",2133.80295445383,1660.3454283515282,1640.0570401045638,1947.92828699092
Jamie Jones,"Wales",1689.5621707125572,1990.2851822196071,1688.1708926828717,1661.8066767898779
Zhou Yuelong,"China",1787.0858408992028,1719.9211747991849,1995.9768844897965,1860.7293304715927
Omar Alajlani,Saudi Arabia,1500.0,1478.4179078604038,1392.0223393364433,1392.3549428018005
Yao Pengcheng,China,1500.0,1500.0,1500.0,1383.7631681736752
Huang Jiahao,China,1500.0,1500.0,1404.0669939620332,1242.493542687183
Connor Benzey,England,1500.0,1500.0,1550.9817482197006,1211.073534760465
Haris Tahir,Pakistan,1500.0,1500.0,1185.3786711077958,1190.0557938371726
Abdullah Alotayyani,Saudi Arabia,1500.0,1500.0,1406.158090257121,1444.1584861768042
Umut Dikme,Germany,1500.0,1314.2319348212397,1394.5500763742791,1843.3584891930439
Ali Al Obaidly,Qatar,1500.0,1479.3474705461217,1385.0200928627842,1385.0200928627842
Yulu Bai,China,1500.0,1250.833870745974,1327.2406552431833,1411.037998295867
Andrew Pagett,"Wales",1425.3158570400242,1230.4362444989604,1230.700006621536,1302.1081767156365
Jake Crofts,England,1406.1276332738205,1406.1276332738205,1406.1276332738205,1406.1276332738205
Callum Beresford,England,1325.4275944923404,1325.4275944923404,1325.4275944923404,1325.4275944923404
Fergal Quinn (II),Northern Ireland,1500.0,1433.5862252181373,1460.2415472075388,1190.0453764607944
Cody Turner,New Zealand,1500.0,1500.0,1500.0,1394.7313174139513
Noppon Saengkham,"Thailand",1918.961833434079,1937.9155877405678,1848.7818075325622,1880.7104282247121
Filips Kalniņš,Latvia,1181.5905737682256,1343.0151911305463,1343.0151911305463,1343.0151911305463
Ahmed Aly Elsayed,United States,1500.0,925.1484144771009,1035.7638466547633,1035.7638466547633
Musaad Almisfir,Saudi Arabia,1500.0,1500.0,1500.0,1447.9646508256556
Xiao Guodong,"China",1805.631702445071,1882.0520040484619,2379.2454085591808,1982.297268977026
Joe O'Connor,"England",1887.9122511625574,2042.614261013232,2290.768256226014,1896.5336251859471
Chang Bingyu,"China",1329.017234428862,1329.017234428862,1329.017234428862,1911.9768516748613
Barry Hawkins,"England",1798.8395662403282,2005.109160749461,2562.8251174768666,2416.3951278236314
Amir Sarkhosh,Iran,1500.0,1426.49763068417,1231.139355290663,1380.0747708447036
Zhang Xiao,China,1500.0,1500.0,1500.0,1462.4404530128058
Barry Pinches,"England",1431.7058795385528,1424.9280837267,1486.7709495532033,1486.7709495532033
Lee Walker,Wales,1456.1832188276646,1456.1832188276646,1456.1832188276646,1456.1832188276646
Anthony Hamilton,"England",1537.7654639971004,1492.0929874373228,1558.5560982084542,1558.5560982084542
Deng Haohui,China,1500.0,1473.8867287961875,1473.8867287961875,1473.8867287961875
Adeel Aqdus,Pakistan,1500.0,1500.0,1453.747506822812,1395.6550648819539
Ben Mertens,"Belgium",1518.9893069817686,1565.2562483139436,1318.3872147599761,1637.6528456415401
Cheung Ka Wai,Hong Kong,1500.0,1441.181475210525,1546.9503894422314,1630.70435725311
Ross Bulman,Ireland,1378.7773353378877,1378.7773353378877,1378.7773353378877,1378.7773353378877
Halim Hussain,England,1500.0,1500.0,1500.0,1409.6322072844566
Antoni Kowalski,Poland,1500.0,1500.0,1269.2985223676778,1701.6087378968436
Kayden Brierley,England,1500.0,1500.0,1451.7592050120606,1401.1458815675524
Mohamed Elkhayat,Egypt,1500.0,1500.0,1479.0110941459054,1479.0110941459054
Scott Donaldson,"Scotland",1511.304025140174,1747.8336654908408,1630.5753144287512,1381.875837423699
Wang Yuchen,China,1500.0,1500.0,1597.969004856444,1394.7994786717124
Alfie Burden,"England",1444.331531812859,1486.459414903796,1343.2643065785917,1521.365359412822
Ricky Walden,"England",1923.5426715155504,1855.0523122100385,1690.769790924392,1621.2976788334083
Ronnie O'Sullivan,"England",2147.3647221308515,2446.0411083870513,2147.7495429486007,2638.0852290060707
Mark Davis,"England",1762.5542676896825,1894.0992233881004,1693.8617078246125,1477.4034291193138
Mohammed Shehab,United Arab Emirates,1500.0,1477.2992033077546,1424.7438187663156,1411.6631891050617
Marco Fu,"Hong Kong",1359.448238957824,1618.9240188356357,1595.6769817383306,1850.1996065780486
Andrew Higginson,England,1654.2866548795384,1552.2524269951405,1419.1168386310374,1419.1168386310374
Chris Wakelin,"England",1752.6958337792414,1837.8325437156743,2083.8540534064696,2031.6703876135455
Abdulraouf Saigh,Saudi Arabia,1500.0,1500.0,1500.0,1403.5500188109363
Duane Jones,"Wales",1269.0103982409478,1450.5907583416613,1635.4282941175777,1345.9647750602796
Ryan Davies,England,1380.1153348615803,1430.1785433169728,1384.8591539024562,1454.7868860035505
Ishpreet Singh Chadha,India,1500.0,1502.0047455354998,1655.7793153148043,1622.0295122687717
Graeme Dott,"Scotland",1715.429877239353,1649.202018257991,1606.3764537975358,1606.3764537975358
Ali Jalil Ali,Iraq,1500.0,1500.0,1433.596028359475,1433.596028359475
Dean Young,"Scotland",1214.8680852938378,1144.921184984423,1409.5094242454968,1444.071820299931
Tom Ford,"England",1714.9225975749373,2059.813353088053,1794.7253752588229,1868.304085558261
Stephen Hendry,"Scotland",943.465900330683,924.0054222885907,924.0054222885907,924.0054222885907
Ian Martin,England,1190.735358987181,1190.735358987181,1190.735358987181,1190.735358987181
Ali Hussain Ali,Iraq,1500.0,1500.0,1385.9934625487765,1385.9934625487765
Bulcsú Révész,Hungary,1300.7819001911057,1328.2217689096594,1310.9101370002495,1611.9995327677325
Michael Holt,England,1559.4047182269244,1434.7394893631727,1692.7424291918692,1643.9052726542309
Ken Doherty,"Ireland",1468.1768710100469,1348.7902215038464,1266.35736309702,1320.1807170480276
Ahmed Abdullah Aseeri,Saudi Arabia,1500.0,1500.0,1461.4439951130937,1413.528704431841
Liam Graham,Scotland,1350.0553071350266,1199.386014344192,1293.095876589222,1182.8442561946706
Saleh Alamoudi,Saudi Arabia,1500.0,1500.0,1385.6486099585402,1385.6486099585402
Brad Ferguson,Wales,1313.2509888258953,1313.2509888258953,1313.2509888258953,1313.2509888258953
Mark Lloyd,England,1500.0,1500.0,1500.0,1329.668225985633
Ryan Day,"Wales",1927.4344676417861,2031.563025697698,1839.8172299015912,1632.2573334780473
Florian Nüßle,Austria,1551.1479539503166,1497.2853968745253,1550.5268304414692,1410.471548439185
Jamie Gardiner,Northern Ireland,1500.0,1500.0,1504.1599170335862,1504.1599170335862
Martin O'Donnell,England,1580.905879426491,1530.4473572719614,1490.1807185156922,1737.7271345594738
Prin Ratmukda,Thailand,1500.0,1500.0,1500.0,1442.9777118339691
Mahmoud El-Hareedy,Egypt,1500.0,1500.0,1500.0,1173.495136137291
Jonas Luz,Brazil,1500.0,1500.0,1039.6827983653748,993.407788160363
Saud Albaker,Saudi Arabia,1500.0,1500.0,1500.0,1392.6939684861575
Mark Williams,"Wales",2039.563663190114,2383.758300261046,2679.9040705670877,2083.834596392422
Hamim Hussain,England,1500.0,1500.0,1550.9405848176111,1550.9405848176111
Xu Jiarui,China,1500.0,1500.0,1500.0,1497.1082024901036
Luca Brecel,"Belgium",2684.481675314833,2104.508276836932,2470.358645189583,1771.1930270270495
Rebecca Kenna,"England",807.1332959064877,768.7392672307858,768.7392672307858,768.7392672307858
Fergal O'Brien,"Ireland",1211.9477026136096,1254.4497813184894,1254.4497813184894,1254.4497813184894
Huang Hao,China,1500.0,1500.0,1398.4119532896557,1398.4119532896557
Chatchapong Nasa,Thailand,1500.0,1500.0,1500.0,1346.328721159063
David Lilley,"England",1549.6089521306196,1543.9653159785075,1541.7263764342188,1544.1267629150204
Michael White,"Wales",1504.8201607461442,1685.8499468281104,1567.6280972365532,1567.6280972365532
Riley Powell,Wales,1503.8369047488443,1285.0314483175246,1467.840200225111,1465.4367581788654
Yuan Sijun,"China",1674.698575490574,1830.2737896942938,1770.9293450184878,1767.3450816235897
Mohammed Al Joker,United Arab Emirates,1500.0,1500.0,1500.0,1423.3639869728142
Ziyad Al Qabbani,Saudi Arabia,1500.0,1500.0,1420.3423253343874,1433.296816113205
Dechawat Poomjaeng,"Thailand",1341.0412275475992,1341.0412275475992,1341.0412275475992,1341.0412275475992
Oliver Lines,"England",1694.6915415038009,1481.0601383702958,1583.559377593049,1470.3607074884073
Jianbo Zhao,China,1646.0441362936717,1646.0441362936717,1646.0441362936717,1646.0441362936717
Michael Judge,"Ireland",1131.9524159391015,1131.9524159391015,1131.9524159391015,1131.9524159391015
Bradley Cowdroy,England,1500.0,1451.652373555198,1451.652373555198,1451.652373555198
Joshua Cooper,England,1500.0,1500.0,1243.9288468440855,1243.9288468440855
Ian Burns,"England",1485.8804373060411,1587.7695976031566,1707.392319229632,1463.1978868486203
Sion Stuart,Wales,1500.0,1500.0,1484.7077715665978,1484.7077715665978
Ayaan Iqbal,Scotland,1500.0,1500.0,1464.665084334542,1464.665084334542
Louis Heathcote,"England",1507.2324177641046,1903.0583983441372,1493.4475043543662,1546.9407082669704
Jack Borwick,Scotland,1492.4372812713318,1394.3341225250028,1411.1484153915148,1460.328584435584
Ben Woollaston,"England",1603.7431899603116,1745.741464374942,1963.15010323248,1572.9331672866917
Cai Wei,China,1500.0,1500.0,1416.9980465192396,1416.9980465192396
Allan Taylor,"England",1418.7956541155377,1433.244180570186,1465.9746863663981,1431.150049264501
Stephen Maguire,"Scotland",1641.765956948263,2073.3281033005455,1605.4460611913587,1701.4688131785547
Rod Lawler,"England",1341.6257364705007,1316.2715034289738,1316.2715034289738,1316.2715034289738
Michal Szubarczyk,Poland,1500.0,1500.0,1405.8938470033468,1352.0071773833804
Rory McLeod,Jamaica,1485.8357051886928,1379.165932628982,1409.7943402262968,1409.7943402262968
Ben Hancorn,England,1486.9295946163304,1486.9295946163304,1486.9295946163304,1486.9295946163304
Mitchell Mann,"England",1238.0921938507915,1238.0921938507915,1667.2095998395162,1355.3444925359952
Krzysztof Czapnik,Poland,1500.0,1500.0,1500.0,1384.8795147501155
Victor Sarkis,"Brazil",856.7180471440761,806.0394768004111,806.0394768004111,806.0394768004111
Ma Hailong,China,1300.1910009819337,1440.8340423655452,1288.4124144350017,1288.4124144350017
Zheng Dian,China,1500.0,1500.0,1495.0300579924544,1495.0300579924544
David Grace,"England",1828.6524808146658,1478.2691413068471,1618.7304398583067,1431.3796819330246
Robbie Mcguigan,Northern Ireland,1398.837517582958,1385.0084707586961,1373.2454498262505,1442.6052829117095
