Player 1,Player 2,Best Of,Date
"Chen Qi'en","Andrew Higginson",9,"2026-09-28"
"Wang Xinzhong","Jamie Clarke",9,"2026-09-28"
"Mark Williams","Fan Zhengyi",9,"2026-09-28"
"Su Jinxiong","Sam Craigie",9,"2026-09-28"
"Dong Zihao","Marco Fu",9,"2026-09-28"
"Neil Robertson","Liu Hongyu",9,"2026-09-28"
"Judd Trump","Huang Jiahao",9,"2026-09-28"
"Ronnie O'Sullivan","Jiang Jun",9,"2026-09-28"
"Zhao Xintong","Scott Donaldson",9,"2026-09-28"
"Chris Wakelin","Liam Davies",9,"2026-09-28"
"Si Jiahui","Oliver Lines",9,"2026-09-28"
"Kyren Wilson","Su Jinxiong",9,"2026-09-29"
"John Higgins","David Grace",9,"2026-09-29"
"Shaun Murphy","Dong Zihao",9,"2026-09-29"
"Barry Hawkins","Liam Highfield",9,"2026-09-29"
"Xiao Guodong","Michael Holt",9,"2026-09-29"
"Mark Selby","Chen Qi'en",9,"2026-09-29"
"Ding Junhui","Ricky Walden",9,"2026-09-29"
"Wu Yize","Wang Xinzhong",9,"2026-09-29"
